Elem_name,Elem_start,Elem_end
ND1,1,981
ND2,982,2037
COI,2038,3585
COII,3586,4275
ATPase8,4276,4443
ATPase6,4444,5127
COIII,5128,5913
ND3,5914,6264
ND4L,6265,6564
ND4,6565,7947
ND5,7948,9648
CytB,10102,11241
ND6,9649,10101
